ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
42,3,1,0,-0.346325249,-0.18557524,0.306681547,0.144077558,0.346272934,-0.095913044,-0.322099007,-0.729787536,-1.801534186,3,1.509616639,-0.485116236,-0.175768561,-0.721613308
43,1,0,0,3.183896212,0.14525724,-1.598334533,-1.05512437,-1.013032519,1.510945492,1.424352798,0.421383945,0.641869308,3,-0.238065444,0.407924621,0.337412335,0.188110193
43,2,1,2,3.183896212,0.075067573,-1.32305289,-1.05512437,-0.559930702,1.580821451,1.403488135,0.70310455,1.093744957,3,-0.285738988,0.407924621,0.337412335,0.188110193
44,1,1,0,2.47785192,-0.989591213,-1.047485806,1.743013462,-0.106828884,1.319818779,1.532537674,0.944464227,1.00311641,3,-0.20380976,0.407924621,0.337412335,0.188565283
45,1,0,0,1.771807628,-0.379611825,-0.889288041,1.343279486,-1.013032519,0.844199449,1.197449546,0.903423136,1.462845906,2,-0.617733559,0.495579291,0.663990682,-0.181656009
45,2,1,0,1.065763335,-0.482961531,-0.801714448,1.743013462,-0.559930702,1.218898809,1.358883712,0.548967389,1.759455329,2,-0.606357048,0.495579291,0.663990682,-0.181656009
46,1,0,0,-0.346325249,-1.838135877,1.152192183,-1.05512437,-1.013032519,1.611560212,-0.554664452,-1.250667713,-1.513204046,3,-1.089617928,0.742127685,0.663990682,1.984323043
46,2,0,0,-0.346325249,-1.874252074,1.439198629,-0.655390394,-0.559930702,1.742026511,-0.438303076,-0.950023038,-1.335109966,3,-1.133461074,0.742127685,0.663990682,1.984323043
46,3,1,0,-0.346325249,-1.961204951,1.802563185,-0.255656418,-0.106828884,1.470662717,-0.621840495,-0.706074311,-1.534939447,3,-1.036657517,0.742127685,0.663990682,1.984323043
47,1,1,0,1.065763335,-0.479257738,-1.03596882,0.94354551,-0.559930702,1.447791419,1.51226524,-0.361159803,1.141588272,3,-0.587033035,2.276185391,0.663990682,0.440709352
48,1,1,2,0.359719043,0.954291932,-0.280870387,-1.05512437,-1.013032519,-1.4402799,-0.52552081,-0.316789951,1.006777088,2,-0.732679898,0.4353139,-2.88168467,-1.433434465
49,1,1,0,1.065763335,0.920151984,-0.219618238,-0.655390394,-0.559930702,-1.40939971,-0.534334735,-0.010067747,0.885340102,2,-0.740053987,0.4353139,0.247025232,0.408828502
50,1,0,0,-0.346325249,-0.128967267,-0.331087757,-1.05512437,-1.013032519,0.393892386,-0.429767513,-0.937871948,1.532446218,1,-1.023365807,0.939361913,1.876990853,0.140596411
50,2,0,0,-0.346325249,0.077691875,-0.142809894,-0.655390394,-0.559930702,0.219438819,-0.39018802,-0.416872063,1.712484921,1,-0.998192983,0.939361913,1.876990853,0.140596411
50,3,1,0,0.359719043,-0.185159581,-0.103827318,-0.255656418,-0.106828884,0.213725012,-0.336955646,0.040995733,1.833199849,1,-0.993078141,0.939361913,1.876990853,0.140596411
51,1,0,0,0.359719043,-0.900837862,0.406540719,-1.05512437,-1.013032519,-0.804480165,-1.30649252,-1.113307771,0.225562,3,1.599436028,0.528455402,-0.169940217,-0.324332653
52,1,0,0,-0.346325249,0.625786273,-0.221637364,-1.05512437,-1.013032519,-0.14045701,-0.354333657,-0.992767963,0.437104699,3,0.635448752,0.040845445,-1.388768732,-0.154596646
52,2,1,0,-1.052369541,-0.21710819,-0.155429474,-0.655390394,-0.559930702,0.231344996,-0.432461804,-1.006022712,1.166079537,3,0.672995826,0.040845445,-1.388768732,-0.154596646
53,1,0,0,-0.346325249,-1.444314203,-0.331004447,-1.05512437,-0.106828884,0.600419231,0.008067501,-1.125105766,-0.859642383,3,0.223038764,-1.186398476,0.47737619,0.134446556
53,2,1,0,-1.052369541,-1.444314203,-0.47788315,-0.655390394,0.346272934,0.600419231,0.008067501,-0.763806357,-1.040897734,3,0.223038764,-1.186398476,0.47737619,0.134446556
54,1,1,4,1.065763335,0.865980336,-1.395211146,-1.05512437,-1.013032519,0.20638747,0.755854354,-0.495222181,-0.405696573,3,-0.236368142,0.802393076,0.23244243,0.295572766
55,1,1,2,2.47785192,-1.375275518,-0.573266757,-1.05512437,-1.013032519,0.352921831,0.890659841,-1.061062082,0.973500744,3,-0.249923621,2.232358056,-2.88168467,0.709113638
56,1,0,0,-0.346325249,0.753570923,-0.438005732,-0.255656418,-0.106828884,-0.709009735,0.048245634,-0.701346468,-0.742403088,3,0.478654743,0.090159612,-0.642310763,0.293211221
56,2,0,0,-0.346325249,0.594350281,-0.103350387,0.144077558,0.346272934,-0.7705932,-0.022196249,-0.330668154,-0.719313947,3,0.453665411,0.090159612,-0.642310763,0.293211221
56,3,0,0,-0.346325249,0.959844831,-0.327959493,0.543811534,0.799374752,-0.725830366,0.060199263,-0.134894801,-0.833404855,3,0.498081971,0.090159612,-0.642310763,0.293211221
56,4,0,0,-0.346325249,0.403109528,-0.460068473,0.94354551,1.252476569,-0.911722053,-0.184867695,0.141223454,-0.769097549,3,0.393674959,0.090159612,-0.642310763,0.293211221
57,1,0,0,-0.346325249,0.358643289,-0.452694188,-1.05512437,-1.013032519,-0.765689413,-0.031052733,-1.250667713,-0.369615367,3,0.439800289,0.090159612,-0.642310763,0.293211221
57,2,1,0,-1.052369541,0.608048212,-0.452935798,-0.655390394,-0.559930702,-1.027652272,-0.310913467,-1.000752943,-0.443412839,3,0.378135471,0.090159612,-0.642310763,0.293211221
58,1,1,2,-1.052369541,-0.562659623,-0.345802452,-0.255656418,-0.559930702,1.182212015,0.73736709,-0.695255819,-1.454309552,3,1.200053979,-0.041333613,-0.175768561,-0.25176436
59,1,0,0,0.359719043,-0.462260406,0.011909746,-1.05512437,-0.106828884,1.218255686,0.780989363,-0.332209776,-1.51066462,3,1.206682632,-0.041333613,-0.169940217,1.57843259
59,2,1,0,0.359719043,-0.541311472,-0.2888301,-0.655390394,0.346272934,1.254925169,0.813327323,-0.009667083,-1.400856751,3,1.157988413,-0.041333613,-0.169940217,1.57843259
60,1,0,0,0.359719043,-1.555900116,-0.569588443,-1.05512437,0.346272934,0.441648658,0.169254379,-0.951146532,-1.541344199,3,1.024153854,-0.041333613,-0.169940217,1.57843259
60,2,0,0,0.359719043,-1.616669491,-0.590041039,-0.655390394,0.799374752,0.58215602,0.261222532,-0.47032454,-1.481897446,3,1.048971162,-0.041333613,-0.169940217,1.57843259
61,1,0,0,1.065763335,0.684054453,-1.024558851,-0.655390394,-1.013032519,-0.838463799,0.204851302,0.379086544,0.320301773,3,-0.368516867,2.232358056,0.401559947,0.122146845
62,1,0,0,1.771807628,-1.04560125,0.615222133,-0.655390394,-1.013032519,-1.455854072,0.912806313,-0.430919305,1.342641659,2,-1.276401429,0.512017346,-2.88168467,-1.760742066
63,1,1,0,-0.346325249,-0.215376335,0.511792706,0.94354551,-0.559930702,1.251645203,-0.949004032,0.511143517,2.963535206,1,-1.263992775,2.339188588,0.337412335,0.107387192
